smiles,value,cano_smiles
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)[N+](=O)[O-],-2.305351369446624,Nc1nc([N+](=O)[O-])nc2c1ncn2C1OC(CO)C(O)C1O
CNC(=O)C12CC1C(C(C2O)O)N3C=NC4=C3N=CN=C4NCC5=CC(=CC=C5)I,-0.11394335230683678,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(I)c4)ncnc31)C(O)C2O
C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)N4C=CC=CC4=N3,-2.568201724066995,O=c1[nH]c(=O)n(Cc2ccccc2)c2nc3ccccn3c12
CC(=O)NC1=NC(=NC2=NC(=CN21)C3=CC=CC=C3)C4=CC=CC=C4,-1.6020599913279625,CC(=O)Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12
C1=CC=C(C=C1)CCC(=O)NC2=NC3=C(C=C(C=C3)Cl)C4=NC(=NN42)C5=CC=CO5,-1.3729120029701067,O=C(CCc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
C1=CC=C(C=C1)C2=C(SC(=N2)NC(=O)C3=CC=CO3)C4=CC=CC=N4,-3.3096301674258988,O=C(Nc1nc(-c2ccccc2)c(-c2ccccn2)s1)c1ccco1
CC1=CC=CC=C1CNC2=NC(=NC3=C2N=CN3C4C(C(C(S4)C(=O)NC5CC5)O)O)Cl,-1.4440447959180762,Cc1ccccc1CNc1nc(Cl)nc2c1ncn2C1SC(C(=O)NC2CC2)C(O)C1O
CN1C2=CC=CC=C2C3=CN(N=C3C1=O)C4=CC=CC=C4,-2.071882007306125,Cn1c(=O)c2nn(-c3ccccc3)cc2c2ccccc21
C1=CC=C(C=C1)N2C(=O)N3C4=CC=CC=C4N=C(C3=N2)NC(=O)C5=CC=NC=C5,-0.7853298350107671,O=C(Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12)c1ccncc1
CNC(=O)C12CC1C(C(C2O)O)N3C=NC4=C3N=C(N=C4NCC5=CC(=CC=C5)Cl)Cl,0.5376020021010439,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(Cl)nc31)C(O)C2O
CN1C2=C(C(=O)N(C1=O)C)NC(=C2)C3=CC=C(C=C3)COC(=O)NC4=CC=CC=C4,-2.4393326938302633,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccccc4)cc3)cc2n(C)c1=O
CCC1=C(C(=[N+](C(=C1C(=O)SCC)C)C)C2=CC=CC=C2)C(=O)OCC,-2.578639209968072,CCOC(=O)c1c(CC)c(C(=O)SCC)c(C)[n+](C)c1-c1ccccc1
CC1(C(C(OC1N2C=NC3=C2N=CN=C3NC4CCCCC4)CO)O)O,-3.4082399653118496,CC1(O)C(O)C(CO)OC1n1cnc2c(NC3CCCCC3)ncnc21
CCOC(=O)C1C(C(=C(N=C1C)C2=CC=CC=C2)C(=O)OCC)C=CC3=CC=CC=C3OC,-2.523746466811565,CCOC(=O)C1=C(c2ccccc2)N=C(C)C(C(=O)OCC)C1C=Cc1ccccc1OC
CCN1C2=C(C(=O)N(C1=O)CC3CC3)NC(=N2)C4=CN(N=C4)CC5=CC(=CC=C5)C(F)(F)F,-2.513217600067939,CCn1c(=O)n(CC2CC2)c(=O)c2[nH]c(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)nc21
C1CN2C(=O)C3=NNN=C3N=C2SC1,-2.640481436970422,O=c1c2n[nH]nc2nc2n1CCCS2
CCCCC#CC1=NC2=C(C(=N1)NC)N=CN2C3C(C(C(O3)CO)O)O,-0.04139268515822507,CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1
